02Concordance	AverageTotalEdgeBetweennessCentrality	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequency2	01Concordance	MutationFrequencyDifference	Type	AverageOverlapPMN	AverageSetScore	MutationFrequencyDifferenceRatio	AverageCombinedScore	TripletScore	Coverage	AverageAverageNodeClosenessCentrality	12Type	SetScore	Concordance	AverageAverageNodeClusteringCoefficient	RoundedLogPCov	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	12Concordance	AverageRoundedLogPCov	ID	GeneSet	Probability	TripletType	Gene0	Gene1	Gene2	AverageCoverage	01Type	02Type	AverageCooccurrenceRatio
False	0	9	9	2	19	False	0	Cooccurring	14.0	21.480460300064262	0.0	120.81061627615715	43.666487810659206	28	0	Cooccurring	34.160087297655124	False	0	inf	0.07142857142857142	[9, 9, 19]	3	478.24122216717177	False	2.766666666666667	0	set(['OBSCN', 'DST', 'UPF3A'])	3.9649702165896166e-05	CooccurringCooccurringCooccurring	OBSCN	DST	UPF3A	21	Cooccurring	Cooccurring	0.17777777777777778
False	0	19	9	3	17	False	10	Cooccurring	12.333333333333334	18.023230103879154	0.3125	87.45772464617706	27.330538951930325	32	0	Cooccurring	30.381507798042907	False	0	inf	0.09375	[9, 19, 17]	3	324.0694165124577	False	3.2000000000000006	1	set(['OBSCN', 'UPF3A', 'TP53'])	3.3309662775631866e-06	CooccurringCooccurringCooccurring	OBSCN	UPF3A	TP53	24	Cooccurring	Cooccurring	0.21538040503557743
False	0	19	9	2	9	False	10	Cooccurring	14.0	21.081523930349217	0.37037037037037035	109.52486609484511	36.5082886982817	27	0	Cooccurring	33.800532788939144	False	0	inf	0.07407407407407407	[9, 19, 9]	3	456.3071926506785	False	3.0	2	set(['OBSCN', 'UPF3A', 'FAT4'])	8.0034400208702834e-06	CooccurringCooccurringCooccurring	OBSCN	UPF3A	FAT4	20	Cooccurring	Cooccurring	0.19468599033816425
False	0	11	11	2	11	False	0	Cooccurring	11.0	15.684586572326273	0.0	70.58063957546823	22.056449867333818	23	0	Cooccurring	26.393726722117965	False	0	inf	0.08695652173913043	[11, 11, 11]	3	303.5278573043566	False	3.2000000000000006	4	set(['MT-CYB', 'MT-ND4', 'MT-RNR2'])	2.0316913685633849e-06	CooccurringCooccurringCooccurring	MT-CYB	MT-ND4	MT-RNR2	18	Cooccurring	Cooccurring	0.2222222222222222
False	0	11	16	3	11	False	5	Cooccurring	11.0	18.81969494346967	0.1724137931034483	101.38503873364209	35.366873976851885	29	0	Cooccurring	28.789373687981104	False	0	inf	0.10344827586206896	[16, 11, 11]	3	278.29727898381736	False	2.866666666666667	5	set(['MUC16', 'MT-ND4', 'MT-RNR2'])	3.0502365250814118e-05	CooccurringCooccurringCooccurring	MUC16	MT-ND4	MT-RNR2	21	Cooccurring	Cooccurring	0.1900161030595813
False	0	11	22	2	11	False	11	Cooccurring	14.5	15.814226142099713	0.3548387096774194	76.94769899247451	24.557776274193994	31	0	Cooccurring	27.154878631791966	False	0	inf	0.06451612903225806	[22, 11, 11]	3	420.9006187927755	False	3.1333333333333333	6	set(['TUBBP5', 'MT-ND4', 'MT-RNR2'])	5.9054932042005926e-06	CooccurringCooccurringCooccurring	TUBBP5	MT-ND4	MT-RNR2	24	Cooccurring	Cooccurring	0.20767195767195767
False	0	16	11	3	11	False	5	Cooccurring	11.666666666666666	16.163671577327623	0.19230769230769232	71.1731198515176	19.41085086859571	26	0	Cooccurring	24.92367020164015	False	0	inf	0.11538461538461539	[11, 16, 11]	3	216.00514174754795	False	3.6666666666666665	7	set(['MT-ND4', 'MT-ND5', 'MT-RNR2'])	9.7228741189024074e-08	CooccurringCooccurringCooccurring	MT-ND4	MT-ND5	MT-RNR2	20	Cooccurring	Cooccurring	0.24871175523349434
False	0	13	12	3	11	False	1	Cooccurring	12.0	16.899016329292618	0.04	72.66562650819135	21.1647455849101	25	0	Cooccurring	26.502488416557902	False	0	inf	0.12	[12, 13, 11]	3	220.85407013798252	False	3.4333333333333336	8	set(['KRTAP10-7', 'IDUA', 'MT-RNR2'])	3.2083310310351116e-07	CooccurringCooccurringCooccurring	KRTAP10-7	IDUA	MT-RNR2	19	Cooccurring	Cooccurring	0.24210526315789474
False	0	13	22	3	11	False	9	Cooccurring	11.333333333333334	16.291120667517532	0.2727272727272727	77.97560651115349	25.1534214552108	33	0	Cooccurring	25.11750634626418	False	0	inf	0.09090909090909091	[22, 13, 11]	3	276.29256980890597	False	3.1	9	set(['TUBBP5', 'IDUA', 'MT-RNR2'])	6.9299529569575112e-06	CooccurringCooccurringCooccurring	TUBBP5	IDUA	MT-RNR2	25	Cooccurring	Cooccurring	0.20970625798212006
False	0	22	12	2	13	False	10	Cooccurring	8.5	16.410884881130546	0.3125	76.61843442298583	23.6964230174183	32	0	Cooccurring	25.131474827353713	False	0	inf	0.0625	[12, 22, 13]	3	402.1035972376594	False	3.233333333333333	11	set(['MT-CO1', 'TUBBP5', 'IDUA'])	3.152842201165225e-06	CooccurringCooccurringCooccurring	MT-CO1	TUBBP5	IDUA	25	Cooccurring	Cooccurring	0.21887733381986255
False	0	11	12	3	11	False	1	Cooccurring	9.666666666666666	16.75447584101587	0.041666666666666664	71.78767169554196	21.536301508662586	24	0	Cooccurring	25.552112283924732	False	0	inf	0.125	[12, 11, 11]	3	204.41689827139786	False	3.3333333333333335	12	set(['KRTAP10-7', 'GPX1', 'MT-RNR2'])	5.7425181066616076e-07	CooccurringCooccurringCooccurring	KRTAP10-7	GPX1	MT-RNR2	18	Cooccurring	Cooccurring	0.23684210526315788
False	0	10	9	2	9	False	1	Cooccurring	12.5	22.449477478955362	0.047619047619047616	117.07978188065424	42.31799345083888	21	0	Cooccurring	35.320666281158076	False	0	inf	0.09523809523809523	[9, 10, 9]	3	370.8669959521598	False	2.766666666666667	13	set(['OBSCN', 'NCOR2', 'FAT4'])	1.7208505919444713e-05	CooccurringCooccurringCooccurring	OBSCN	NCOR2	FAT4	15	Cooccurring	Cooccurring	0.19166666666666665
False	0	9	12	3	14	False	3	Cooccurring	13.0	22.943241054245537	0.13043478260869565	84.50142183567112	21.667031239915673	23	0	Cooccurring	36.638647736721374	False	0	inf	0.13043478260869565	[12, 9, 14]	3	280.8962993148639	False	3.9	14	set(['PKHD1', 'DST', 'TTN'])	1.3430774118466267e-08	CooccurringCooccurringCooccurring	PKHD1	DST	TTN	18	Cooccurring	Cooccurring	0.27612433862433866
False	0	14	9	3	9	False	5	Cooccurring	13.0	23.531246050277293	0.22727272727272727	93.24062323546967	25.662556853798996	22	0	Cooccurring	36.83674951172141	False	0	inf	0.13636363636363635	[9, 14, 9]	3	270.13616308595704	False	3.633333333333333	15	set(['DST', 'TTN', 'FAT4'])	6.3548183768970877e-08	CooccurringCooccurringCooccurring	DST	TTN	FAT4	17	Cooccurring	Cooccurring	0.25800612642717907
False	0	16	19	4	19	False	3	Cooccurring	8.75	16.831929950554116	0.07692307692307693	79.03140525931691	26.94252452022167	39	0	Cooccurring	26.12815704808393	False	0	inf	0.10256410256410256	[19, 16, 19]	3	254.74953121881833	False	2.9333333333333336	16	set(['OTOP1', 'MUC2', 'UPF3A'])	4.2622667851512841e-05	CooccurringCooccurringCooccurring	OTOP1	MUC2	UPF3A	29	Cooccurring	Cooccurring	0.21319985168705968
False	0	12	9	3	9	False	3	Cooccurring	14.0	22.4851867957843	0.15	86.2667269848913	22.50436356127599	20	0	Cooccurring	35.637505670367204	False	0	inf	0.15	[9, 12, 9]	3	237.58337113578136	False	3.8333333333333335	17	set(['OBSCN', 'PKHD1', 'FAT4'])	1.375467953475846e-08	CooccurringCooccurringCooccurring	OBSCN	PKHD1	FAT4	15	Cooccurring	Cooccurring	0.27499999999999997
False	0	9	9	3	9	False	0	Cooccurring	14.0	23.659402191530944	0.0	106.84456698868554	33.388927183964235	20	0	Cooccurring	36.19516195408322	False	0	inf	0.15	[9, 9, 9]	3	241.30107969388814	False	3.1999999999999997	18	set(['OBSCN', 'DST', 'FAT4'])	1.0414649262181289e-06	CooccurringCooccurringCooccurring	OBSCN	DST	FAT4	14	Cooccurring	Cooccurring	0.22857142857142856
False	0	17	9	3	9	False	8	Cooccurring	14.0	20.97653964097825	0.3076923076923077	103.16219952156958	32.92410623028816	26	0	Cooccurring	33.36465358322749	False	0	inf	0.11538461538461539	[9, 17, 9]	3	289.1603310546383	False	3.1333333333333333	19	set(['OBSCN', 'TP53', 'FAT4'])	3.1728933593018108e-06	CooccurringCooccurringCooccurring	OBSCN	TP53	FAT4	19	Cooccurring	Cooccurring	0.20663780663780665
False	0	19	19	3	9	False	0	Cooccurring	8.0	18.76413237892548	0.0	85.33118280116302	26.12179065341725	33	0	Cooccurring	28.65650688196948	False	0	inf	0.09090909090909091	[19, 19, 9]	3	315.2215757016643	False	3.266666666666667	25	set(['OTOP1', 'UPF3A', 'FAT4'])	2.2374049940983677e-06	CooccurringCooccurringCooccurring	OTOP1	UPF3A	FAT4	25	Cooccurring	Cooccurring	0.22019635343618513
False	0	17	9	3	19	False	8	Cooccurring	12.0	18.52587275048289	0.24242424242424243	98.46693922162943	33.19110310841442	33	0	Cooccurring	29.84435224195143	False	0	inf	0.09090909090909091	[9, 17, 19]	3	328.2878746614657	False	2.9666666666666663	27	set(['DST', 'TP53', 'UPF3A'])	1.9340799835807938e-05	CooccurringCooccurringCooccurring	DST	TP53	UPF3A	25	Cooccurring	Cooccurring	0.19662138627655867
False	0	9	19	3	9	False	10	Cooccurring	12.0	20.788309606970742	0.37037037037037035	96.63046756094872	29.281959866954153	27	0	Cooccurring	32.31530610409118	False	0	inf	0.1111111111111111	[19, 9, 9]	3	290.8377549368206	False	3.3000000000000003	28	set(['UPF3A', 'DST', 'FAT4'])	8.8694718819996362e-07	CooccurringCooccurringCooccurring	UPF3A	DST	FAT4	20	Cooccurring	Cooccurring	0.2232574189095928
False	0	16	11	2	11	False	5	Cooccurring	12.0	16.46721903296676	0.17857142857142858	87.71958761578453	30.599856145041112	28	0	Cooccurring	27.497594497335037	False	0	inf	0.07142857142857142	[11, 16, 11]	3	384.9663229626905	False	2.866666666666667	29	set(['GPX1', 'MT-ND5', 'MT-RNR2'])	3.0502365250815779e-05	CooccurringCooccurringCooccurring	GPX1	MT-ND5	MT-RNR2	21	Cooccurring	Cooccurring	0.1900161030595813
False	0	9	19	2	9	False	10	Cooccurring	10.5	19.842467483393172	0.37037037037037035	103.10720167607589	34.36906722535863	27	0	Cooccurring	31.31563162033725	False	0	inf	0.07407407407407407	[19, 9, 9]	3	422.7610268745529	False	3.0	34	set(['OTOP1', 'FAT4', 'PCDH15'])	8.0034400208699175e-06	CooccurringCooccurringCooccurring	OTOP1	FAT4	PCDH15	20	Cooccurring	Cooccurring	0.19468599033816425
False	0	9	9	1	9	False	0	Cooccurring	14.0	21.505135919070323	0.0	96.07323562638244	30.022886133244516	18	0	Cooccurring	36.20402124433959	False	0	inf	0.05555555555555555	[9, 9, 9]	3	651.6723823981127	False	3.1999999999999997	35	set(['DST', 'PCDH15', 'FAT4'])	1.0414649262181289e-06	CooccurringCooccurringCooccurring	DST	PCDH15	FAT4	14	Cooccurring	Cooccurring	0.22857142857142856
False	0	14	12	3	9	False	2	Cooccurring	13.0	23.485168411220446	0.08333333333333333	95.63245493121538	26.564570814226492	24	0	Cooccurring	36.27909322800539	False	0	inf	0.125	[12, 14, 9]	3	290.2327458240431	False	3.6	36	set(['PKHD1', 'TTN', 'FAT4'])	1.0380502519574862e-07	CooccurringCooccurringCooccurring	PKHD1	TTN	FAT4	18	Cooccurring	Cooccurring	0.25370718462823727
False	0	16	11	2	11	False	5	Cooccurring	11.0	18.77639146683114	0.18518518518518517	92.31695143444921	30.103353728624743	27	0	Cooccurring	30.387277217789208	False	0	inf	0.07407407407407407	[11, 16, 11]	3	410.2282424401543	False	3.0666666666666664	39	set(['GPX1', 'MUC16', 'MT-RNR2'])	6.7805830350282006e-06	CooccurringCooccurringCooccurring	GPX1	MUC16	MT-RNR2	21	Cooccurring	Cooccurring	0.20780266432440345
False	0	22	12	2	11	False	10	Cooccurring	14.5	15.715597384834538	0.3333333333333333	68.90380657886213	20.06906987733848	30	0	Cooccurring	27.419761789278944	False	0	inf	0.06666666666666667	[12, 22, 11]	3	411.29642683918416	False	3.4333333333333336	41	set(['KRTAP10-7', 'TUBBP5', 'MT-RNR2'])	6.6142241057886074e-07	CooccurringCooccurringCooccurring	KRTAP10-7	TUBBP5	MT-RNR2	24	Cooccurring	Cooccurring	0.23066926575698501
False	0	12	9	3	9	False	3	Cooccurring	14.0	22.32619052710267	0.15	85.97367163033967	22.427914338349478	20	0	Cooccurring	35.997060179083185	False	0	inf	0.15	[9, 12, 9]	3	239.9804011938879	False	3.8333333333333335	44	set(['OBSCN', 'PKHD1', 'DST'])	1.375467953475846e-08	CooccurringCooccurringCooccurring	OBSCN	PKHD1	DST	15	Cooccurring	Cooccurring	0.27499999999999997
False	0	12	9	4	17	False	3	Cooccurring	11.25	19.466917280535043	0.1111111111111111	78.30742659797228	21.55250273338687	27	0	Cooccurring	28.578619729020232	False	0	inf	0.14814814814814814	[9, 12, 17]	3	192.9056831708866	False	3.633333333333333	45	set(['OBSCN', 'PKHD1', 'TP53'])	8.9660985886954798e-08	CooccurringCooccurringCooccurring	OBSCN	PKHD1	TP53	20	Cooccurring	Cooccurring	0.25297619047619047
False	0	9	9	3	17	False	0	Cooccurring	14.0	21.216242646788903	0.0	104.42064030207553	33.32573626661985	26	0	Cooccurring	33.724208091943474	False	0	inf	0.11538461538461539	[9, 9, 17]	3	292.27647013017673	False	3.1333333333333333	49	set(['OBSCN', 'DST', 'TP53'])	3.1728933593017791e-06	CooccurringCooccurringCooccurring	OBSCN	DST	TP53	19	Cooccurring	Cooccurring	0.20663780663780665
False	0	17	9	4	9	False	8	Cooccurring	12.5	21.137733860273205	0.2962962962962963	100.98761093954373	31.558628418607416	27	0	Cooccurring	32.08767702881381	False	0	inf	0.14814814814814814	[9, 17, 9]	3	216.5918199444932	False	3.1999999999999997	52	set(['DST', 'TP53', 'FAT4'])	2.0416473847660325e-06	CooccurringCooccurringCooccurring	DST	TP53	FAT4	19	Cooccurring	Cooccurring	0.21645021645021645
False	0	9	12	4	9	False	3	Cooccurring	12.5	22.25426931054073	0.15	73.50415058752418	17.783262238917143	20	0	Cooccurring	34.36052911595352	False	0	inf	0.2	[12, 9, 9]	3	171.80264557976759	False	4.133333333333333	56	set(['PKHD1', 'DST', 'FAT4'])	1.5243038376165249e-09	CooccurringCooccurringCooccurring	PKHD1	DST	FAT4	15	Cooccurring	Cooccurring	0.30357142857142855
False	0	10	16	1	11	False	6	Cooccurring	14.0	20.725346694427984	0.23076923076923078	109.77783397134665	37.854425507360915	26	0	Cooccurring	37.0763697248543	False	0	inf	0.038461538461538464	[16, 10, 11]	3	963.9856128462118	False	2.9	62	set(['MUC16', 'NCOR2', 'AHNAK2'])	1.8973975958671171e-05	CooccurringCooccurringCooccurring	MUC16	NCOR2	AHNAK2	20	Cooccurring	Cooccurring	0.19191919191919193
False	0	17	19	3	9	False	2	Cooccurring	12.0	18.126936380767848	0.0625	87.12126328886472	27.22539477777023	32	0	Cooccurring	29.48479773323545	False	0	inf	0.09375	[19, 17, 9]	3	314.5045091545115	False	3.1999999999999997	65	set(['UPF3A', 'TP53', 'FAT4'])	3.904012463798278e-06	CooccurringCooccurringCooccurring	UPF3A	TP53	FAT4	24	Cooccurring	Cooccurring	0.21352959883694514
False	0	17	11	4	16	False	6	Cooccurring	11.5	19.83650239976414	0.1935483870967742	84.18788155268335	24.761141633142163	31	0	Cooccurring	31.56195525071579	False	0	inf	0.12903225806451613	[11, 17, 16]	3	244.60515319304739	False	3.4	66	set(['AHNAK2', 'TP53', 'MUC16'])	7.7685601216144429e-07	CooccurringCooccurringCooccurring	AHNAK2	TP53	MUC16	23	Cooccurring	Cooccurring	0.23796493361710755
False	0	11	12	2	9	False	1	Cooccurring	3.5	15.43961169960109	0.041666666666666664	84.75828790149926	30.635525747529847	24	0	Cooccurring	22.791155821958988	False	0	inf	0.08333333333333333	[12, 11, 9]	3	273.4938698635079	False	2.766666666666667	68	set(['MT-CO1', 'RP11-1277A3.2', 'KCNN3'])	3.0922659604281825e-05	CooccurringCooccurringCooccurring	MT-CO1	RP11-1277A3.2	KCNN3	18	Cooccurring	Cooccurring	0.1845545235638115
False	0	22	12	4	13	False	10	Cooccurring	10.25	16.29410641241938	0.3125	64.38735276496126	17.09398745972423	32	0	Cooccurring	25.143765601114293	False	0	inf	0.125	[12, 22, 13]	3	201.15012480891434	False	3.766666666666667	70	set(['KRTAP10-7', 'TUBBP5', 'IDUA'])	7.3137584451300758e-08	CooccurringCooccurringCooccurring	KRTAP10-7	TUBBP5	IDUA	25	Cooccurring	Cooccurring	0.26064842822253587
False	0	9	12	4	17	False	3	Cooccurring	12.5	20.031856765273684	0.10714285714285714	89.44846330995391	26.30837156175115	28	0	Cooccurring	31.889575253813774	False	0	inf	0.14285714285714285	[12, 9, 17]	3	223.22702677669642	False	3.4	74	set(['PKHD1', 'DST', 'TP53'])	5.2060424412026818e-07	CooccurringCooccurringCooccurring	PKHD1	DST	TP53	20	Cooccurring	Cooccurring	0.2342171717171717
False	0	11	9	2	10	False	2	Cooccurring	9.0	21.612752399127476	0.08695652173913043	122.40960240809788	45.90360090303671	23	0	Cooccurring	32.1152572696852	False	0	inf	0.08695652173913043	[9, 11, 10]	3	369.3254586013798	False	2.6666666666666665	77	set(['OBSCN', 'AHNAK2', 'NCOR2'])	5.2470411653785614e-05	CooccurringCooccurringCooccurring	OBSCN	AHNAK2	NCOR2	17	Cooccurring	Cooccurring	0.17687908496732027
False	0	17	12	4	9	False	5	Cooccurring	12.5	20.190853033955314	0.17857142857142858	89.68159291305288	26.376939092074377	28	0	Cooccurring	31.530020745097794	False	0	inf	0.14285714285714285	[12, 17, 9]	3	220.71014521568458	False	3.4	86	set(['PKHD1', 'TP53', 'FAT4'])	5.2060424412027347e-07	CooccurringCooccurringCooccurring	PKHD1	TP53	FAT4	20	Cooccurring	Cooccurring	0.2342171717171717
False	0	11	9	2	17	False	2	Cooccurring	15.5	20.239251703932727	0.07692307692307693	98.52683181706674	31.113736363284232	26	0	Cooccurring	34.40671599200238	False	0	inf	0.07692307692307693	[9, 11, 17]	3	447.28730789603094	False	3.1666666666666665	97	set(['OBSCN', 'AHNAK2', 'TP53'])	2.7381285656867826e-06	CooccurringCooccurringCooccurring	OBSCN	AHNAK2	TP53	20	Cooccurring	Cooccurring	0.21065237689278613
