MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	SetScore	Overlap	Coverage	RoundedLogPCov	CombinedScore	AverageOverlapPMN	MutationFrequencyDifference	Type	GeneSet
0.16666666666666666	False	0.046935690912568953	KRTAP10-7	DNAH6	0.16666666666666666	9	12	[12, 9]	2	19.084044401322465	3	18	2.6	114.5042664079348	10.0	3	Cooccurring	frozenset(['KRTAP10-7', 'DNAH6'])
0.05263157894736842	False	0.00075890902757095875	KRTAP10-7	IDUA	0.3157894736842105	13	12	[12, 13]	2	17.060911783855477	6	19	4.4	54.02622064887568	9.166666666666666	1	Cooccurring	frozenset(['KRTAP10-7', 'IDUA'])
0.4166666666666667	False	0.043346034039258331	OBSCN	UPF3A	0.16666666666666666	19	9	[9, 19]	2	20.07629658580605	4	24	2.7	120.45777951483629	10.5	10	Cooccurring	frozenset(['OBSCN', 'UPF3A'])
0.4074074074074074	False	0.010606801049191792	TUBBP5	MT-RNR2	0.2222222222222222	11	22	[22, 11]	2	15.281304749815588	6	27	3.4	68.76587137417015	8.333333333333334	11	Cooccurring	frozenset(['TUBBP5', 'MT-RNR2'])
0.2222222222222222	False	0.010887174457152074	ATXN1	PCDH15	0.2222222222222222	9	13	[13, 9]	2	19.876260801300234	4	18	3.2	89.44317360585106	9.75	4	Cooccurring	frozenset(['ATXN1', 'PCDH15'])
0.16666666666666666	False	0.046935690912568953	KRTAP10-7	KRTAP5-5	0.16666666666666666	9	12	[12, 9]	2	16.051735479098745	3	18	2.6	96.31041287459247	7.333333333333333	3	Cooccurring	frozenset(['KRTAP10-7', 'KRTAP5-5'])
0.2727272727272727	False	0.035196278643022334	MUC16	NCOR2	0.18181818181818182	10	16	[16, 10]	2	20.225549069129325	4	22	2.8	111.24051988021128	8.25	6	Cooccurring	frozenset(['MUC16', 'NCOR2'])
0.0	False	0.012665409766881595	MT-ND4	MT-RNR2	0.2222222222222222	11	11	[11, 11]	2	16.387697259140438	4	18	3.2	73.74463766613198	11.25	0	Cooccurring	frozenset(['MT-ND4', 'MT-RNR2'])
0.22727272727272727	False	0.010909143574168832	MT-CYB	MUC2	0.22727272727272727	16	11	[11, 16]	2	15.189839162495252	5	22	3.3	66.83529231497911	6.2	5	Cooccurring	frozenset(['MT-CYB', 'MUC2'])
0.1	False	0.023859337076320635	IDUA	MT-RNR2	0.2	11	13	[13, 11]	2	16.796028626368503	4	20	2.9	83.98014313184251	10.25	2	Cooccurring	frozenset(['IDUA', 'MT-RNR2'])
0.2222222222222222	False	0.010887174457152694	OBSCN	ATXN1	0.2222222222222222	13	9	[9, 13]	2	20.712878268697523	4	18	3.2	93.20795220913885	8.25	4	Cooccurring	frozenset(['OBSCN', 'ATXN1'])
0.0	False	0.0032218427020671496	MUC2	MT-ND5	0.28	16	16	[16, 16]	2	14.82446317969169	7	25	3.9	52.944511356041744	7.142857142857143	0	Cooccurring	frozenset(['MUC2', 'MT-ND5'])
0.038461538461538464	False	0.0049208896450212911	MUC16	TP53	0.2692307692307692	17	16	[16, 17]	2	19.169661397766777	7	26	3.7	71.20159947741946	9.857142857142858	1	Cooccurring	frozenset(['MUC16', 'TP53'])
0.0	False	0.012665409766881595	MT-CYB	MT-ND4	0.2222222222222222	11	11	[11, 11]	2	15.093374401986265	4	18	3.2	67.9201848089382	8.25	0	Cooccurring	frozenset(['MT-CYB', 'MT-ND4'])
0.10344827586206896	False	0.038188635950881157	OTOP1	MUC2	0.20689655172413793	16	19	[19, 16]	2	16.87317592518516	6	29	2.9	81.55368363839493	8.0	3	Cooccurring	frozenset(['OTOP1', 'MUC2'])
0.37037037037037035	False	0.0035193576430473114	MT-CO1	TUBBP5	0.25925925925925924	22	12	[12, 22]	2	15.520463429234042	7	27	3.9	59.86464465561702	7.285714285714286	10	Cooccurring	frozenset(['MT-CO1', 'TUBBP5'])
0.16666666666666666	False	0.046935690912568953	MT-CO1	KCNN3	0.16666666666666666	9	12	[12, 9]	2	15.829050108226783	3	18	2.6	94.9743006493607	6.333333333333333	3	Cooccurring	frozenset(['MT-CO1', 'KCNN3'])
0.37037037037037035	False	0.0035193576430473114	KRTAP10-7	TUBBP5	0.25925925925925924	22	12	[12, 22]	2	15.025378827034164	7	27	3.9	57.95503261856035	8.714285714285714	10	Cooccurring	frozenset(['KRTAP10-7', 'TUBBP5'])
0.11764705882352941	False	0.037182838857854769	RP11-1277A3.2	KCNN3	0.17647058823529413	9	11	[11, 9]	2	15.789910199889512	3	17	2.7	89.4761577993739	5.0	2	Cooccurring	frozenset(['RP11-1277A3.2', 'KCNN3'])
0.21739130434782608	False	0.049074641539509398	GPX1	MT-ND5	0.17391304347826086	16	11	[11, 16]	2	16.070837128651938	4	23	2.7	92.40731348974865	9.0	5	Cooccurring	frozenset(['GPX1', 'MT-ND5'])
0.05555555555555555	False	0.0025588925389289441	KRTAP10-7	GPX1	0.2777777777777778	11	12	[12, 11]	2	16.702706568335387	5	18	3.8	60.12974364600739	9.0	1	Cooccurring	frozenset(['KRTAP10-7', 'GPX1'])
0.047619047619047616	False	0.032715332710556336	CTNNB1	PKHD1	0.19047619047619047	12	13	[13, 12]	2	19.180578311828643	4	21	2.8	100.69803613710039	6.0	1	Cooccurring	frozenset(['CTNNB1', 'PKHD1'])
0.0625	False	0.028556237531810698	NCOR2	FAT4	0.1875	9	10	[10, 9]	2	21.983336208058713	3	16	2.7	117.24445977631314	11.0	1	Cooccurring	frozenset(['NCOR2', 'FAT4'])
0.1875	False	0.00080733659970894382	PKHD1	DST	0.3125	9	12	[12, 9]	2	21.51068833946148	5	16	4.3	68.83420268627674	10.8	3	Cooccurring	frozenset(['PKHD1', 'DST'])
0.05555555555555555	False	0.049416381504889445	AHNAK2	NCOR2	0.16666666666666666	10	11	[11, 10]	2	20.9442634822177	3	18	2.6	125.6655808933062	8.666666666666666	1	Cooccurring	frozenset(['AHNAK2', 'NCOR2'])
0.13333333333333333	False	0.00049102788442077305	AHNAK2	DNAH6	0.3333333333333333	9	11	[11, 9]	2	21.450240726423676	5	15	4.5	64.35072217927103	8.8	2	Cooccurring	frozenset(['AHNAK2', 'DNAH6'])
0.2777777777777778	False	0.0018750453432978724	DST	TTN	0.2777777777777778	14	9	[9, 14]	2	23.449805728364826	5	18	4.0	84.41930062211337	9.6	5	Cooccurring	frozenset(['DST', 'TTN'])
0.21739130434782608	False	0.049074641539506733	MUC16	MT-ND4	0.17391304347826086	11	16	[16, 11]	2	19.752553716845807	4	23	2.7	113.5771838718634	9.5	5	Cooccurring	frozenset(['MUC16', 'MT-ND4'])
0.0	False	0.02110285398611092	DST	PCDH15	0.2	9	9	[9, 9]	2	21.437375263721027	3	15	2.9	107.18687631860513	8.666666666666666	0	Cooccurring	frozenset(['DST', 'PCDH15'])
0.10344827586206896	False	0.038188635950879041	MUC2	UPF3A	0.20689655172413793	19	16	[16, 19]	2	16.405656443328695	6	29	2.9	79.29400614275536	8.333333333333334	3	Cooccurring	frozenset(['MUC2', 'UPF3A'])
0.0625	False	0.028556237531812124	OBSCN	NCOR2	0.1875	10	9	[9, 10]	2	21.50821416483813	3	16	2.7	114.71047554580336	9.666666666666666	1	Cooccurring	frozenset(['OBSCN', 'NCOR2'])
0.0625	False	0.028556237531812124	OBSCN	KRTAP10-6	0.1875	10	9	[9, 10]	2	20.53334693326002	3	16	2.7	109.51118364405345	10.333333333333334	1	Cooccurring	frozenset(['OBSCN', 'KRTAP10-6'])
0.2222222222222222	False	0.049073337964172757	OTOP1	BAGE2	0.18518518518518517	13	19	[19, 13]	2	17.34665954800006	5	27	2.7	93.67196155920033	10.2	6	Cooccurring	frozenset(['OTOP1', 'BAGE2'])
0.0	False	0.02110285398611092	OBSCN	FAT4	0.2	9	9	[9, 9]	2	23.856882063969245	3	15	2.9	119.28441031984622	14.0	0	Cooccurring	frozenset(['OBSCN', 'FAT4'])
0.2222222222222222	False	0.049073337964172757	UPF3A	CROCCP2	0.18518518518518517	13	19	[19, 13]	2	16.75376638403012	5	27	2.7	90.47033847376265	7.4	6	Cooccurring	frozenset(['UPF3A', 'CROCCP2'])
0.22727272727272727	False	0.010909143574168343	MUC16	AHNAK2	0.22727272727272727	11	16	[16, 11]	2	21.00622753193693	5	22	3.3	92.42740114052249	9.6	5	Cooccurring	frozenset(['MUC16', 'AHNAK2'])
0.25	False	0.00015642936480348774	MT-ND4	MT-ND5	0.35	16	11	[11, 16]	2	15.493109879652446	7	20	5.1	44.26602822757842	8.857142857142858	5	Cooccurring	frozenset(['MT-ND4', 'MT-ND5'])
0.0	False	0.043178112362824352	CTNNB1	IDUA	0.18181818181818182	13	13	[13, 13]	2	17.421628211018565	4	22	2.7	95.8189551606021	6.5	0	Cooccurring	frozenset(['CTNNB1', 'IDUA'])
0.0	False	0.029226199016906942	OTOP1	UPF3A	0.22580645161290322	19	19	[19, 19]	2	17.216957483148487	7	31	3.0	76.24652599680044	8.285714285714286	0	Cooccurring	frozenset(['OTOP1', 'UPF3A'])
0.36363636363636365	False	0.029546717377772837	TP53	FAT4	0.18181818181818182	9	17	[17, 9]	2	20.074379567082637	4	22	2.9	110.4090876189545	12.5	8	Cooccurring	frozenset(['TP53', 'FAT4'])
0.4166666666666667	False	0.043346034039258331	DST	UPF3A	0.16666666666666666	19	9	[9, 19]	2	20.148647741701506	4	24	2.7	120.89188645020904	10.75	10	Cooccurring	frozenset(['DST', 'UPF3A'])
0.21739130434782608	False	0.049074641539506733	MT-ND5	MT-RNR2	0.17391304347826086	11	16	[16, 11]	2	16.610207593189983	4	23	2.7	95.50869366084241	11.75	5	Cooccurring	frozenset(['MT-ND5', 'MT-RNR2'])
0.22727272727272727	False	0.010909143574168832	GPX1	MUC16	0.22727272727272727	16	11	[11, 16]	2	19.289728169012296	5	22	3.3	84.8748039436541	8.0	5	Cooccurring	frozenset(['GPX1', 'MUC16'])
0.3103448275862069	False	0.027383407592848463	TUBBP5	IDUA	0.20689655172413793	13	22	[22, 13]	2	16.796028626368503	6	29	3.0	81.18080502744776	8.833333333333334	9	Cooccurring	frozenset(['TUBBP5', 'IDUA'])
0.39285714285714285	False	0.043959475901635348	TUBBP5	MT-ND4	0.17857142857142858	11	22	[22, 11]	2	15.773676417343113	5	28	2.8	88.33258793712143	9.8	11	Cooccurring	frozenset(['TUBBP5', 'MT-ND4'])
0.2222222222222222	False	0.010887174457152694	OBSCN	BAGE2	0.2222222222222222	13	9	[9, 13]	2	18.902767261262415	4	18	3.2	85.06245267568087	8.5	4	Cooccurring	frozenset(['OBSCN', 'BAGE2'])
0.045454545454545456	False	0.013097620862560951	C2orf81	CROCCP2	0.22727272727272727	13	14	[14, 13]	2	14.886156748697031	5	22	3.2	65.49908969426694	5.2	1	Cooccurring	frozenset(['C2orf81', 'CROCCP2'])
0.32	False	0.023802827670770986	UPF3A	RP11-1277A3.2	0.2	11	19	[19, 11]	2	16.510099106696295	5	25	3.0	82.55049553348147	7.8	8	Cooccurring	frozenset(['UPF3A', 'RP11-1277A3.2'])
0.4166666666666667	False	0.043346034039256361	OTOP1	PCDH15	0.16666666666666666	9	19	[19, 9]	2	19.590211382272336	4	24	2.7	117.54126829363402	9.25	10	Cooccurring	frozenset(['OTOP1', 'PCDH15'])
0.05263157894736842	False	0.017718668380854383	MT-CO1	RP11-1277A3.2	0.21052631578947367	11	12	[12, 11]	2	14.699874790686978	4	19	3.0	69.82440525576315	5.25	1	Cooccurring	frozenset(['MT-CO1', 'RP11-1277A3.2'])
0.0	False	0.012665409766881595	MT-CYB	MT-RNR2	0.2222222222222222	11	11	[11, 11]	2	15.57268805585211	4	18	3.2	70.0770962513345	8.25	0	Cooccurring	frozenset(['MT-CYB', 'MT-RNR2'])
0.2608695652173913	False	0.014471256717599849	AHNAK2	TP53	0.21739130434782608	17	11	[11, 17]	2	19.333618269588715	5	23	3.2	88.9346440401081	10.8	6	Cooccurring	frozenset(['AHNAK2', 'TP53'])
0.1875	False	0.00080733659970894382	PKHD1	FAT4	0.3125	9	12	[12, 9]	2	22.347231654222348	5	16	4.3	71.51114129351151	11.6	3	Cooccurring	frozenset(['PKHD1', 'FAT4'])
0.0	False	0.02110285398611092	PCDH15	FAT4	0.2	9	9	[9, 9]	2	20.173144555551584	3	15	2.9	100.86572277775791	8.0	0	Cooccurring	frozenset(['PCDH15', 'FAT4'])
0.43478260869565216	False	0.0087495583730815302	UPF3A	FAT4	0.21739130434782608	9	19	[19, 9]	2	19.311393141272358	5	23	3.4	88.83240844985285	9.8	10	Cooccurring	frozenset(['UPF3A', 'FAT4'])
0.2631578947368421	False	0.014492026102694492	TTN	FAT4	0.21052631578947367	9	14	[14, 9]	2	24.239044484528698	4	19	3.1	115.13546130151133	11.5	5	Cooccurring	frozenset(['TTN', 'FAT4'])
0.06896551724137931	False	0.015101351785255037	UPF3A	TP53	0.2413793103448276	17	19	[19, 17]	2	14.995036433948547	7	29	3.3	62.12229379778684	9.285714285714286	2	Cooccurring	frozenset(['UPF3A', 'TP53'])
0.047619047619047616	False	0.032715332710559972	MT-CO1	IDUA	0.19047619047619047	13	12	[12, 13]	2	16.916162587789085	4	21	2.8	88.8098535858927	8.25	1	Cooccurring	frozenset(['MT-CO1', 'IDUA'])
0.21739130434782608	False	0.049074641539506733	MUC16	MT-RNR2	0.17391304347826086	11	16	[16, 11]	2	20.31883385442277	4	23	2.7	116.83329466293094	11.25	5	Cooccurring	frozenset(['MUC16', 'MT-RNR2'])
0.1875	False	0.00080733659970890067	OBSCN	PKHD1	0.3125	12	9	[9, 12]	2	21.251446669161307	5	16	4.3	68.00462934131619	10.6	3	Cooccurring	frozenset(['OBSCN', 'PKHD1'])
0.11764705882352941	False	0.037182838857854769	GPX1	KCNN3	0.17647058823529413	9	11	[11, 9]	2	17.043583451331372	3	17	2.7	96.5803062242111	8.0	2	Cooccurring	frozenset(['GPX1', 'KCNN3'])
0.11764705882352941	False	0.037182838857856282	OBSCN	AHNAK2	0.17647058823529413	11	9	[9, 11]	2	22.3857795503266	3	17	2.7	126.85275078518406	11.666666666666666	2	Cooccurring	frozenset(['OBSCN', 'AHNAK2'])
0.0	False	0.02110285398611092	OBSCN	DST	0.2	9	9	[9, 9]	2	24.216436572685225	3	15	2.9	121.08218286342613	14.0	0	Cooccurring	frozenset(['OBSCN', 'DST'])
0.11764705882352941	False	0.037182838857856282	KCNN3	MT-ND4	0.17647058823529413	11	9	[9, 11]	2	15.056765607108114	3	17	2.7	85.32167177361264	6.333333333333333	2	Cooccurring	frozenset(['KCNN3', 'MT-ND4'])
0.0	False	0.012665409766881595	GPX1	MT-RNR2	0.2222222222222222	11	11	[11, 11]	2	16.720612377058355	4	18	3.2	75.2427556967626	10.25	0	Cooccurring	frozenset(['GPX1', 'MT-RNR2'])
0.09523809523809523	False	0.0088722675414533818	PKHD1	TTN	0.23809523809523808	14	12	[12, 14]	2	23.869229094910303	5	21	3.4	100.25076219862328	10.6	2	Cooccurring	frozenset(['PKHD1', 'TTN'])
0.20833333333333334	False	0.021824475992253071	PKHD1	TP53	0.20833333333333334	17	12	[12, 17]	2	18.150947880560956	5	24	3.0	87.12454982669259	10.6	5	Cooccurring	frozenset(['PKHD1', 'TP53'])
0.05263157894736842	False	0.017718668380854383	KRTAP10-7	MT-RNR2	0.21052631578947367	11	12	[12, 11]	2	16.840108577653865	4	19	3.0	79.99051574385587	11.5	1	Cooccurring	frozenset(['KRTAP10-7', 'MT-RNR2'])
0.0	False	0.0023386340070229205	DST	FAT4	0.2857142857142857	9	9	[9, 9]	2	22.904887937938362	4	14	3.8	80.16710778278427	12.5	0	Cooccurring	frozenset(['DST', 'FAT4'])
0.36363636363636365	False	0.029546717377772543	DST	TP53	0.18181818181818182	17	9	[9, 17]	2	20.433934075798618	4	22	2.9	112.3866374168924	12.5	8	Cooccurring	frozenset(['DST', 'TP53'])
0.43478260869565216	False	0.0087495583730815302	OTOP1	FAT4	0.21739130434782608	9	19	[19, 9]	2	19.7640465123556	5	23	3.4	90.91461395683575	9.0	10	Cooccurring	frozenset(['OTOP1', 'FAT4'])
0.19230769230769232	False	0.039522011947507929	FAM182A	CROCCP2	0.19230769230769232	13	18	[18, 13]	2	14.963533460627879	5	26	2.8	77.81037399526497	7.0	5	Cooccurring	frozenset(['FAM182A', 'CROCCP2'])
0.38095238095238093	False	0.0050886788567986426	OBSCN	TP53	0.23809523809523808	17	9	[9, 17]	2	18.998357291882865	5	21	3.6	79.79310062590804	10.8	8	Cooccurring	frozenset(['OBSCN', 'TP53'])
0.19230769230769232	False	0.039522011947507929	FAM182A	BAGE2	0.19230769230769232	13	18	[18, 13]	2	15.032760222888905	5	26	2.8	78.1703531590223	7.4	5	Cooccurring	frozenset(['FAM182A', 'BAGE2'])
